Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Virtual System,Event ID,Stage,Authentication Method,Tunnel Type,Source User,Source Region,Machine Name,Public IP,Public IPv6,Private IP,Private IPv6,Host ID,Serial Number,Client Version,Client OS,Client OS Version,Repeat Count,Reason,Error,Description,Status,Location,Login Duration,Connect Method,Error Code,Portal,Sequence Number,Action Flags,High Res Timestamp,Selection Type,Response Time,Priority,Attempted Gateways,Gateway,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Virtual System ID,cluster_name
1,2024/05/06 02:50:52,007251000358572,GLOBALPROTECT,0,2561,2024/05/06 02:50:52,vsys1,portal-prelogin,before-login,,,,192.168.0.0-192.168.255.255,,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Portal-Velocity,7342971110545162279,0x0,2024-05-06T02:50:53.334-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 08:22:20,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 08:22:20,vsys1,gateway-logout,logout,,,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,"client logout",success,,1429,,0,Gateway-velocity,7342971110545162278,0x0,2024-04-25T08:22:20.787-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 08:22:20,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 08:22:20,vsys1,gateway-config-release,configuration,,,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Gateway-velocity,7342971110545162277,0x0,2024-04-25T08:22:20.787-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 07:58:38,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 07:58:38,vsys1,gateway-hip-check,host-info,,,GP-Velocity,,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,,,1,,,"HIP report is not needed",success,,0,,0,Gateway-velocity,7342971110545162276,0x0,2024-04-25T07:58:38.931-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 07:58:38,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 07:58:38,vsys1,gateway-tunnel-latency,tunnel,,,GP-Velocity,,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,,,1,,,"Pre-tunnel latency: 1ms, Post-tunnel latency: 1ms",success,,0,,0,Gateway-velocity,7342971110545162275,0x0,2024-04-25T07:58:38.931-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 07:58:38,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 07:58:38,vsys1,gateway-connected,connected,Local Database,IPSec,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Gateway-velocity,7342971110545162274,0x0,2024-04-25T07:58:38.930-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 07:58:38,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 07:58:38,vsys1,gateway-setup-ipsec,tunnel,,IPSec,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Gateway-velocity,7342971110545162273,0x0,2024-04-25T07:58:38.930-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 07:58:31,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 07:58:31,vsys1,gateway-getconfig,configuration,,IPSec,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,10.100.20.1,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,"Config name: Gateway-client, Client region: 192.168.0.0-192.168.255.255.",success,,0,,0,Gateway-velocity,7342971110545162272,0x0,2024-04-25T07:58:31.934-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 07:58:31,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 07:58:31,vsys1,gateway-register,login,,,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,,0,Gateway-velocity,7342971110545162271,0x0,2024-04-25T07:58:31.740-07:00,,,,,,0,0,0,0,,Lab48-65-PA-VM,1,
1,2024/04/25 07:58:31,007251000358572,GLOBALPROTECT,0,2561,2024/04/25 07:58:31,vsys1,gateway-auth,login,Local Database,,GP-Velocity,192.168.0.0-192.168.255.255,BFA39AF1-707F-4,192.168.2.10,0.0.0.0,0.0.0.0,0.0.0.0,f7792bff-0dda-49f6-b611-e2a02d7dbd1a,VMware-42 0c 62 5f ed 58 26 fa-eb 9b d9 31 9d 89 d6 99,6.2.3,Windows,"Microsoft Windows 10 Enterprise , 64-bit",1,,,,success,,0,on-demand,0,Gateway-velocity,7342971110545162270,0x0,2024-04-25T07:58:31.732-07:00,auto,0,manual only,,Gateway-loopback,0,0,0,0,,Lab48-65-PA-VM,1,
